Date,Close,Open,High,Low,Volume,Percentage_change
24-Jul-17,377.25,375.5,377.5,371,124.95K,-0.66%
21-Jul-17,379.75,390.5,391,378.5,147.01K,-2.88%
20-Jul-17,391,382.5,393.25,380.5,139.46K,2.22%
19-Jul-17,382.5,376.5,389,374.25,139.74K,1.46%
18-Jul-17,377,380.75,388.75,375.25,154.63K,0.53%
17-Jul-17,375,375.75,378.75,370.5,113.70K,2.67%
14-Jul-17,365.25,369,369,369,0.13K,1.18%
13-Jul-17,361,376.25,376.25,360,0.50K,-4.05%
12-Jul-17,376.25,390.5,391.25,376,0.90K,-4.08%
11-Jul-17,392.25,393.25,394.5,387,1.71K,0.13%
10-Jul-17,391.75,387.75,392.25,387.75,1.41K,2.49%
7-Jul-17,382.25,379,386.75,378.25,2.87K,0.53%
6-Jul-17,380.25,380,381.25,374.75,4.90K,-0.39%
5-Jul-17,381.75,379.5,383.25,374.75,7.60K,0.99%
3-Jul-17,378,373.25,385.25,373,10.73K,2.02%
30-Jun-17,370.5,360,372.5,359.5,24.41K,2.99%
29-Jun-17,359.75,356.75,362.25,356.25,169.17K,0.84%
28-Jun-17,356.75,359.5,360.5,356.75,219.54K,-0.70%
27-Jun-17,359.25,361.25,364.25,359.25,208.88K,0.07%
26-Jun-17,359,358.5,361.75,357.25,212.56K,0.35%
23-Jun-17,357.75,362.75,364.75,356.5,250.37K,-1.38%
22-Jun-17,362.75,368.75,369.25,362.5,178.70K,-1.63%
21-Jun-17,368.75,369.5,373.5,368.25,164.65K,-0.34%
20-Jun-17,370,376.25,377.5,369.25,203.11K,-1.40%
19-Jun-17,375.25,378.25,381.5,375.25,237.06K,-2.28%
16-Jun-17,384,378.75,384.5,377,206.39K,1.19%
15-Jun-17,379.5,376.75,382,370,266.28K,0.66%
14-Jun-17,377,381,385,376.75,199.41K,-1.05%
13-Jun-17,381,379.25,383.75,377.5,247.97K,0.99%
12-Jun-17,377.25,386,387.25,376.25,371.35K,-2.71%
9-Jun-17,387.75,384.25,389.5,380.75,268.36K,0.52%
8-Jun-17,385.75,385,391.75,384.25,398.38K,0.26%
7-Jun-17,384.75,378.25,387,378.25,523.85K,1.99%
6-Jun-17,377.25,372,379.75,371.25,255.15K,1.14%
5-Jun-17,373,373.75,375.5,372,196.48K,0.07%
2-Jun-17,372.75,370.5,374.75,369.5,131.23K,0.61%
1-Jun-17,370.5,371.5,373.75,367.5,177.07K,-0.40%
31-May-17,372,370.25,376.5,369,263.40K,1.36%
30-May-17,367,373.5,373.75,366.25,208.78K,-1.94%
26-May-17,374.25,369.25,374.75,368.75,130.48K,1.35%
25-May-17,369.25,371,373,368.75,110.61K,-0.54%
24-May-17,371.25,370,371.5,368.75,108.55K,0.47%
23-May-17,369.5,374.75,375.75,369,178.14K,-1.47%
22-May-17,375,372.75,377.5,371.75,170.82K,0.67%
19-May-17,372.5,366,373,366,201.67K,1.78%
18-May-17,366,371.5,371.5,364.25,194.69K,-1.48%
17-May-17,371.5,367,372.25,366.25,140.85K,1.02%
16-May-17,367.75,367.25,368.75,365.25,115.03K,0.00%
15-May-17,367.75,370.5,371.75,367.25,116.96K,1.66%
12-May-17,361.75,361,362,360,0.21K,0.35%
11-May-17,360.5,364.25,364.25,360.25,0.34K,-1.30%
10-May-17,365.25,358.75,365,358.25,1.02K,1.95%
9-May-17,358.25,358.25,360.5,357.25,1.63K,0.42%
8-May-17,356.75,360.5,360.75,356.25,1.96K,-1.38%
5-May-17,361.75,359,365.5,359,2.39K,1.05%
4-May-17,358,367,367.5,357.5,2.96K,-2.25%
3-May-17,366.25,363.5,367.5,362.25,4.17K,0.62%
2-May-17,364,367.25,369.75,362.25,4.95K,-1.42%
1-May-17,369.25,363,370.5,361.75,9.79K,3.14%
28-Apr-17,358,360,361.25,355.5,31.57K,-1.10%
27-Apr-17,362,358.75,364,358.5,148.98K,0.84%
26-Apr-17,359,365,367.25,358.25,199.69K,-1.64%
25-Apr-17,365,359.25,368.25,356.25,180.78K,1.60%
24-Apr-17,359.25,358,360.5,356.25,159.11K,0.63%
21-Apr-17,357,357.5,358.75,354.25,181.73K,-0.21%
20-Apr-17,357.75,361.75,363.75,357.25,176.90K,-1.11%
19-Apr-17,361.75,361.25,365.25,360.5,188.30K,0.00%
18-Apr-17,361.75,366.5,368,360.75,200.18K,-1.30%
17-Apr-17,366.5,371,372,365.5,146.56K,-1.21%
13-Apr-17,371,368.75,373,368.5,267.05K,0.54%
12-Apr-17,369,366.5,371.5,366.25,237.72K,0.68%
11-Apr-17,366.5,366,369,362.25,254.16K,-0.14%
10-Apr-17,367,360,367,359,222.75K,2.09%
7-Apr-17,359.5,360.5,361.75,357.25,233.39K,-0.35%
6-Apr-17,360.75,364.25,365.5,360,137.98K,-1.10%
5-Apr-17,364.75,363,365.75,361.5,143.41K,0.48%
4-Apr-17,363,367,369.75,362.75,157.42K,-1.29%
3-Apr-17,367.75,365.75,371.75,365.5,230.41K,0.96%
31-Mar-17,364.25,358,366.75,355,302.10K,1.89%
30-Mar-17,357.5,358.25,358.75,356.75,105.35K,-0.28%
29-Mar-17,358.5,357.25,360.75,356.5,140.22K,0.21%
28-Mar-17,357.75,356,358.75,355.75,126.48K,0.56%
